image_name,place,date,label,scene
i0001.jpg,Xpu-Ha,10/7/2022,nada,playa
i0002.jpg,Xpu-Ha,10/7/2022,nada,playa
i0003.jpg,Xpu-Ha,10/7/2022,bajo,playa
i0004.jpg,Xpu-Ha,10/7/2022,bajo,playa
i0005.jpg,Xpu-Ha,10/3/2022,bajo,playa
i0006.jpg,Xpu-Ha,10/3/2022,bajo,playa
i0007.jpg,Xpu-Ha,10/3/2022,bajo,playa
i0008.jpg,Xpu-Ha,10/3/2022,bajo,playa
i0009.jpg,Tulum,10/2/2022,nada,mar
i0010.jpg,Tulum,10/2/2022,nada,playa
i0011.jpg,Tulum,10/2/2022,nada,playa
i0012.jpg,Tulum,10/1/2022,nada,playa
i0013.jpg,Cancún,10/1/2022,nada,mar
i0014.jpg,Punta Esmeralda,9/28/2022,bajo,playa
i0015.jpg,Punta Esmeralda,9/28/2022,bajo,playa
i0016.jpg,Punta Esmeralda,9/28/2022,nada,playa
i0017.jpg,Tulum,9/27/2022,nada,playa
i0018.jpg,Tulum,9/27/2022,nada,playa
i0019.jpg,Tulum,9/27/2022,nada,playa
i0020.jpg,Tulum,9/27/2022,nada,playa
i0021.jpg,Xpu-Ha,9/26/2022,bajo,playa
i0022.jpg,Xpu-Ha,9/26/2022,bajo,playa
i0023.jpg,Xpu-Ha,9/26/2022,nada,playa
i0024.jpg,Tulum,9/25/2022,nada,playa
i0025.jpg,Tulum,9/25/2022,nada,playa
i0026.jpg,Tulum,9/25/2022,nada,playa
i0028.jpg,Playa del Carmen,9/23/2022,nada,playa
i0029.jpg,Playa del Carmen,9/24/2022,nada,mar
i0030.jpg,Playa del Carmen,9/25/2022,nada,playa
i0031.jpg,Tulum,9/22/2022,bajo,playa
i0032.jpg,Tulum,9/22/2022,moderado,playa
i0033.jpg,Tulum,9/22/2022,bajo,playa
i0034.jpg,Xpu-Ha,9/22/2022,bajo,playa
i0035.jpg,Xpu-Ha,9/22/2022,moderado,playa
i0036.jpg,Xpu-Ha,9/22/2022,moderado,playa
i0037.jpg,Xpu-Ha,9/22/2022,moderado,playa
i0038.jpg,Xpu-Ha,9/21/2022,moderado,playa
i0039.jpg,Xpu-Ha,9/21/2022,moderado,playa
i0040.jpg,Xpu-Ha,9/21/2022,bajo,playa
i0041.jpg,Tulum,9/18/2022,moderado,playa
i0042.jpg,Tulum,9/18/2022,abundante,playa
i0043.jpg,Xpu-Ha,9/15/2022,bajo,playa
i0044.jpg,Xpu-Ha,9/15/2022,bajo,playa
i0045.jpg,Xpu-Ha,9/13/2022,bajo,playa
i0046.jpg,Xpu-Ha,9/13/2022,moderado,playa
i0047.jpg,Xpu-Ha,9/13/2022,abundante,playa
i0048.jpg,Playa del Carmen,9/13/2022,abundante,playa
i0049.jpg,Xpu-Ha,9/12/2022,abundante,playa
i0050.jpg,Xpu-Ha,9/12/2022,moderado,playa
i0051.jpg,Xpu-Ha,9/12/2022,nada,playa
